prompt_id,approach,combination_method,deletion_percentage,deletion_type,num_colluders,original_user_ids,success,num_matches
0,naive,normal,0.0,none,2,"[225, 805]",True,1
0,naive,with_deletion,0.05,random,2,"[225, 805]",True,1
0,naive,with_deletion,0.05,start,2,"[225, 805]",True,1
0,naive,with_deletion,0.05,end,2,"[225, 805]",True,1
0,min-distance-2,normal,0.0,none,2,"[225, 805]",False,0
0,min-distance-2,with_deletion,0.05,random,2,"[225, 805]",True,1
0,min-distance-2,with_deletion,0.05,start,2,"[225, 805]",False,0
0,min-distance-2,with_deletion,0.05,end,2,"[225, 805]",True,1
0,min-distance-3,normal,0.0,none,2,"[225, 805]",True,1
0,min-distance-3,with_deletion,0.05,random,2,"[225, 805]",True,1
0,min-distance-3,with_deletion,0.05,start,2,"[225, 805]",True,1
0,min-distance-3,with_deletion,0.05,end,2,"[225, 805]",True,1
1,naive,normal,0.0,none,2,"[260, 701]",True,1
1,naive,with_deletion,0.05,random,2,"[260, 701]",True,1
1,naive,with_deletion,0.05,start,2,"[260, 701]",True,1
1,naive,with_deletion,0.05,end,2,"[260, 701]",True,1
1,min-distance-2,normal,0.0,none,2,"[260, 701]",True,1
1,min-distance-2,with_deletion,0.05,random,2,"[260, 701]",True,1
1,min-distance-2,with_deletion,0.05,start,2,"[260, 701]",False,0
1,min-distance-2,with_deletion,0.05,end,2,"[260, 701]",True,1
1,min-distance-3,normal,0.0,none,2,"[260, 701]",False,0
1,min-distance-3,with_deletion,0.05,random,2,"[260, 701]",False,0
1,min-distance-3,with_deletion,0.05,start,2,"[260, 701]",False,0
1,min-distance-3,with_deletion,0.05,end,2,"[260, 701]",True,1
2,naive,normal,0.0,none,2,"[337, 587]",True,2
2,naive,with_deletion,0.05,random,2,"[337, 587]",True,2
2,naive,with_deletion,0.05,start,2,"[337, 587]",True,2
2,naive,with_deletion,0.05,end,2,"[337, 587]",True,2
2,min-distance-2,normal,0.0,none,2,"[337, 587]",True,1
2,min-distance-2,with_deletion,0.05,random,2,"[337, 587]",True,1
2,min-distance-2,with_deletion,0.05,start,2,"[337, 587]",True,1
2,min-distance-2,with_deletion,0.05,end,2,"[337, 587]",True,1
2,min-distance-3,normal,0.0,none,2,"[337, 587]",True,2
2,min-distance-3,with_deletion,0.05,random,2,"[337, 587]",True,1
2,min-distance-3,with_deletion,0.05,start,2,"[337, 587]",True,1
2,min-distance-3,with_deletion,0.05,end,2,"[337, 587]",True,1
3,naive,normal,0.0,none,2,"[424, 510]",True,2
3,naive,with_deletion,0.05,random,2,"[424, 510]",True,2
3,naive,with_deletion,0.05,start,2,"[424, 510]",True,2
3,naive,with_deletion,0.05,end,2,"[424, 510]",True,1
3,min-distance-2,normal,0.0,none,2,"[424, 510]",True,1
3,min-distance-2,with_deletion,0.05,random,2,"[424, 510]",True,1
3,min-distance-2,with_deletion,0.05,start,2,"[424, 510]",True,1
3,min-distance-2,with_deletion,0.05,end,2,"[424, 510]",True,2
3,min-distance-3,normal,0.0,none,2,"[424, 510]",True,1
3,min-distance-3,with_deletion,0.05,random,2,"[424, 510]",True,1
3,min-distance-3,with_deletion,0.05,start,2,"[424, 510]",True,1
3,min-distance-3,with_deletion,0.05,end,2,"[424, 510]",True,1
4,naive,normal,0.0,none,2,"[258, 942]",False,0
4,naive,with_deletion,0.05,random,2,"[258, 942]",True,1
4,naive,with_deletion,0.05,start,2,"[258, 942]",False,0
4,naive,with_deletion,0.05,end,2,"[258, 942]",False,0
4,min-distance-2,normal,0.0,none,2,"[258, 942]",True,1
4,min-distance-2,with_deletion,0.05,random,2,"[258, 942]",True,1
4,min-distance-2,with_deletion,0.05,start,2,"[258, 942]",True,1
4,min-distance-2,with_deletion,0.05,end,2,"[258, 942]",True,1
4,min-distance-3,normal,0.0,none,2,"[258, 942]",True,1
4,min-distance-3,with_deletion,0.05,random,2,"[258, 942]",True,1
4,min-distance-3,with_deletion,0.05,start,2,"[258, 942]",True,1
4,min-distance-3,with_deletion,0.05,end,2,"[258, 942]",True,1
5,naive,normal,0.0,none,2,"[476, 538]",False,0
5,naive,with_deletion,0.05,random,2,"[476, 538]",False,0
5,naive,with_deletion,0.05,start,2,"[476, 538]",False,0
5,naive,with_deletion,0.05,end,2,"[476, 538]",True,1
5,min-distance-2,normal,0.0,none,2,"[476, 538]",True,2
5,min-distance-2,with_deletion,0.05,random,2,"[476, 538]",True,2
5,min-distance-2,with_deletion,0.05,start,2,"[476, 538]",True,2
5,min-distance-2,with_deletion,0.05,end,2,"[476, 538]",True,2
5,min-distance-3,normal,0.0,none,2,"[476, 538]",True,1
5,min-distance-3,with_deletion,0.05,random,2,"[476, 538]",True,2
5,min-distance-3,with_deletion,0.05,start,2,"[476, 538]",True,1
5,min-distance-3,with_deletion,0.05,end,2,"[476, 538]",True,1
6,naive,normal,0.0,none,2,"[447, 815]",True,1
6,naive,with_deletion,0.05,random,2,"[447, 815]",True,1
6,naive,with_deletion,0.05,start,2,"[447, 815]",True,1
6,naive,with_deletion,0.05,end,2,"[447, 815]",True,1
6,min-distance-2,normal,0.0,none,2,"[447, 815]",False,0
6,min-distance-2,with_deletion,0.05,random,2,"[447, 815]",False,0
6,min-distance-2,with_deletion,0.05,start,2,"[447, 815]",False,0
6,min-distance-2,with_deletion,0.05,end,2,"[447, 815]",False,0
6,min-distance-3,normal,0.0,none,2,"[447, 815]",False,0
6,min-distance-3,with_deletion,0.05,random,2,"[447, 815]",True,1
6,min-distance-3,with_deletion,0.05,start,2,"[447, 815]",False,0
6,min-distance-3,with_deletion,0.05,end,2,"[447, 815]",True,1
7,naive,normal,0.0,none,2,"[443, 818]",True,1
7,naive,with_deletion,0.05,random,2,"[443, 818]",True,1
7,naive,with_deletion,0.05,start,2,"[443, 818]",True,1
7,naive,with_deletion,0.05,end,2,"[443, 818]",True,2
7,min-distance-2,normal,0.0,none,2,"[443, 818]",True,1
7,min-distance-2,with_deletion,0.05,random,2,"[443, 818]",True,1
7,min-distance-2,with_deletion,0.05,start,2,"[443, 818]",True,1
7,min-distance-2,with_deletion,0.05,end,2,"[443, 818]",True,2
7,min-distance-3,normal,0.0,none,2,"[443, 818]",True,1
7,min-distance-3,with_deletion,0.05,random,2,"[443, 818]",True,1
7,min-distance-3,with_deletion,0.05,start,2,"[443, 818]",True,1
7,min-distance-3,with_deletion,0.05,end,2,"[443, 818]",True,1
8,naive,normal,0.0,none,2,"[36, 111]",True,1
8,naive,with_deletion,0.05,random,2,"[36, 111]",True,1
8,naive,with_deletion,0.05,start,2,"[36, 111]",True,1
8,naive,with_deletion,0.05,end,2,"[36, 111]",True,1
8,min-distance-2,normal,0.0,none,2,"[36, 111]",True,1
8,min-distance-2,with_deletion,0.05,random,2,"[36, 111]",True,1
8,min-distance-2,with_deletion,0.05,start,2,"[36, 111]",True,1
8,min-distance-2,with_deletion,0.05,end,2,"[36, 111]",True,1
